Year	Liquid wholemilk (ml)	Skimmed milk 	Yoghurt and fromage frais	Total milk and cream 	Natural cheese 	Processed cheese	Total cheese 	Eggs ( )	Oranges and other citrus fruit 	Apples and pears	Bananas	Total fresh fruit 	Fruit juice (ml)	Total other fruit  (c)	Total Fruit 	Potatoes	Fresh green vegetables	Other fresh vegetables	Canned vegetables	Frozen vegetables	Other vegetables and products (d)	Total vegetables 	Bread	Flour	Cakes and pastries	Biscuits	Break-fast cereal	Total cereals (excluding bread) 	Bread & cereal products 	Sugar	Preserves 	Tea	Coffee	Total beverages 	Fresh white fish	Fresh fat fish	Shellfish	Cooked fish	Total fish and fish products 	Butter	Margarine	Lard	All other fats (f)	Vegetable and oils	Low fat spreads	Reduced fat spreads	Total fats 	Beef and veal	Mutton and lamb	Pork	Bacon and ham	Pork, bacon and ham	Poultry	Sausages	Total meat and meat products 
1952	2739.02035649018			2892.45095737241			61.5184651053	2.98	96.6718737369	223.3942419492	40.8233132496	463.2312072906	6	95.5378928133	558.7691001039	1816.3539443763	462.3807215979	448.7729505147	23.5301041647		228.2136608745	2794.4124909813	1742.3616891114	239.8369653414	153.3709199169	136.077710832	41.9572941732	693.1458395505	2435.5075286619	311.84475399	171.5146146945	62.6524460289	12.4737901596	86.1825501936	106.8777020493	18.4271900085	2.5514570781	31.184475399	213.1884136368	79.0951694211	124.4544063651	56.9825414109	16.7262186231				277.2583358202	170.09713854	142.3146059118	23.8135993956	149.9689771461	173.7825765417	17.009713854	102.9087688167	821.0021886864
1953	2716.28989710022			2881.08572767743			70.873807725	3.99	122.1864445179	199.0136520918	72.2912838795	482.5088829918	7	115.9495494381	598.4584324299	1779.4995643593	468.9011119086	449.9069314383	17.8601995467		200.7146234772	2745.3678160356	1631.7985490604	248.0583270375	168.3961671546	144.582567759	43.9417607895	714.6914770989	2346.4900261593	384.7030283313	144.582567759	75.1262361885	9.9223330815	96.6718737369	98.3728451223	12.7572853905	2.5514570781	23.8135993956	178.601995467	100.9243022004	121.3359588252	56.69904618	18.1436947776				297.1030019832	229.0641465672	175.2000526962	45.359236944	168.9631576164	214.3223945604	17.009713854	99.223330815	916.8235767306
1954	2733.33774164269			2886.76834252492			82.213616961	4.26	107.728187742	180.0194716215	82.4971121919	453.3088742091	7	140.3301392955	593.6390135046	1761.0723743508	419.2894465011	396.3263327982	16.4427233922		207.5185090188	2654.9328373785	1595.5111595052	249.7592984229	149.9689771461	141.4641202191	44.7922464822	692.8623443196	2288.3735038248	480.8079116064	118.2175112853	79.9456551138	10.2058283124	102.3417783549	88.4505120408	11.6233044669	2.2679618472	18.9941804703	161.0252911512	115.9495494381	136.3612060629	61.8019603362	16.7262186231				330.8389344603	261.6660981207	169.5301480782	68.038855416	172.932090849	240.970946265	14.7417520068	96.388378506	954.5284424403
1955	2733.33774164269			2892.45095737241	69.7398268014	10.4893235433	80.2291503447	4.19	108.2951782038	189.941804703	83.0641026537	456.7108169799	8	164.427233922	621.1380509019	1698.136433091	414.7535228067	415.0370180376	154.2214056096		223.6777371801	2603.3367053547	1562.9092079517	242.9554128813	157.6233483804	145.1495582208	47.9106940221	706.1866201719	2269.0958281236	500.0855873076	115.9495494381	79.0951694211	10.2058283124	100.3573117386	89.5844929644	11.339809236	2.834952309	22.679618472	168.6796623855	126.7223682123	132.6757680612	61.8019603362	15.5922376995				336.7923343092	265.3515361224	185.6893762395	65.7708935688	172.3651003872	238.135993956	13.6077710832	98.6563403532	975.7905847578
1956	2744.70297133767			2903.81618706739	69.4563315705	11.339809236	80.7961408065	4.35	105.4602258948	186.5398619322	96.388378506	465.4991691378	11	160.4583006894	625.9574698272	1624.427673057	400.8622564926	407.0991515724	182.5709286996		250.8932793465	2541.8182402494	1448.0936394372	223.6777371801	160.7417959203	150.252472377	51.3126367929	701.6506964775	2149.7443359147	510.29141562	104.6097402021	81.6466264992	10.7728187742	104.0427497403	87.883521579	10.4893235433	3.4019427708	25.2310755501	173.7825765417	133.242758523	127.0058634432	58.9670080272	16.4427233922				335.6583533856	283.4952309	202.9825853244	53.864093871	165.8447100765	219.7088039475	16.7262186231	98.0893498914	1002.1556412315
1957	2750.38558618516			2898.1335722199	71.4407981868	10.4893235433	81.9301217301	4.41	109.1456638965	206.6680233261	96.388378506	471.4525689867	11	173.7825765417	645.2351455284	1626.6956349042	445.9379982057	412.4855609595	161.8757768439		229.3476417981	2567.0493157995	1360.77710832	221.4097753329	165.2777196147	155.922376995	51.5961320238	712.1400200208	2072.9171283408	501.786558693	101.7747878931	79.6621598829	11.339809236	102.3417783549	84.4815788082	9.6388378506	2.834952309	24.9475803192	168.3961671546	152.2369389933	113.9650828218	56.1320557182	16.7262186231				339.0602961564	298.8039733686	178.0350050052	56.1320557182	166.4117005383	222.5437562565	22.679618472	100.3573117386	1004.7070983096
1958	2727.6551267952			2898.1335722199	73.708760034	10.7728187742	84.4815788082	4.42	96.9553689678	180.3029668524	87.3165311172	432.6137223534	11	163.8602434602	596.4739658136	1535.1266753235	407.9496372651	404.5476944943	187.3903476249		264.2175551988	2468.9599659081	1338.3809850789	219.7088039475	164.9942243838	158.1903388422	51.029141562	716.9594389461	2055.340424025	525.8836533195	98.9398355841	80.5126455756	11.339809236	103.1922640476	74.5592457267	8.7883521579	3.4019427708	27.4990373973	161.592281613	172.932090849	98.0893498914	60.9514746435	15.0252472377				346.9981626216	271.3049359713	171.2311194636	60.3844841817	168.6796623855	229.0641465672	27.4990373973	98.6563403532	997.0527270753
1959	2704.92466740524			2881.08572767743	71.4407981868	11.339809236	82.7806074228	4.54	114.2485780527	231.6156036453	95.5378928133	525.6001580886	13	174.0660717726	699.6662298612	1530.5907516291	416.737989423	405.6816754179	183.7049096232		256.5631839645	2454.5017091322	1340.6489469261	191.0757856266	169.8136433091	158.757329304	49.3281701766	694.2798204741	2034.9287674002	524.466177165	93.553426197	79.378664652	11.0563140051	100.3573117386	72.0077886486	8.7883521579	3.1184475399	21.5456375484	168.1126719237	162.7262625366	106.0272163566	57.8330271036	14.4582567759				341.0447627727	242.3884224195	197.5961759373	56.9825414109	169.2466528473	226.2291942582	38.2718561715	99.7903212768	997.3362223062
1960	2750.38558618516			2920.86403160986	74.8427409576	11.339809236	86.1825501936	4.64	123.6039206724	230.1981274908	96.1048832751	521.9147200869	14	176.0505383889	697.9652584758	1588.4237787327	430.3457605062	426.6603225045	178.3185002361	17.8601995467	260.2486219662	2560.2454302579	1289.0528149023	191.6427760884	178.8854906979	160.7417959203	51.029141562	711.2895343281	2000.3423492304	503.4875300784	91.0019691189	79.378664652	11.0563140051	101.2077974313	67.1883697233	8.7883521579	2.5514570781	24.3805898574	166.1282053074	161.0252911512	103.7592545094	58.4000175654	16.1592281613				339.3437913873	247.7748318066	187.9573380867	57.2660366418	174.6330622344	231.8990988762	50.1786558693	102.6252735858	1017.4643837001
1961	2784.4812752701			2954.9597206948	76.543712343	10.4893235433	87.0330358863	4.66	112.8311018982	201.281613939	100.9243022004	491.0137399188	14	180.5864620833	671.6002020021	1607.1344639721	409.3671134196	403.1302183398	189.941804703	18.4271900085	281.5107642837	2554.292030409	1280.5479579753	180.5864620833	172.6485956181	158.757329304	53.864093871	690.8778777033	1971.4258356786	513.126367929	85.8990549627	80.5126455756	10.7728187742	102.058283124	63.2194364907	7.3708760034	1.7009713854	27.2155421664	161.3087863821	175.767043158	93.553426197	58.6835127963	13.8912663141				341.8952484654	257.980660119	191.3592808575	55.2815700255	174.6330622344	229.9146322599	68.6058458778	101.7747878931	1042.1284687884
